,0
2020-12-31 23:00:00+01:00,16.48
2021-01-01 00:00:00+01:00,277.61
2021-01-01 01:00:00+01:00,490.08
2021-01-01 02:00:00+01:00,429.15
2021-01-01 03:00:00+01:00,387.61
2021-01-01 04:00:00+01:00,393.79
2021-01-01 05:00:00+01:00,441.06
2021-01-01 06:00:00+01:00,518.5
2021-01-01 07:00:00+01:00,634.04
2021-01-01 08:00:00+01:00,617.69
2021-01-01 09:00:00+01:00,632.41
2021-01-01 10:00:00+01:00,279.46
2021-01-01 11:00:00+01:00,330.04
2021-01-01 12:00:00+01:00,277.2
2021-01-01 13:00:00+01:00,205.0
2021-01-01 14:00:00+01:00,234.23
2021-01-01 15:00:00+01:00,418.82
2021-01-01 16:00:00+01:00,335.29
2021-01-01 17:00:00+01:00,40.09
2021-01-01 18:00:00+01:00,72.36
2021-01-01 19:00:00+01:00,133.55
2021-01-01 20:00:00+01:00,5.22
2021-01-01 21:00:00+01:00,124.67
2021-01-01 22:00:00+01:00,4.35
2021-01-01 23:00:00+01:00,22.17
2021-01-02 00:00:00+01:00,525.91
2021-01-02 01:00:00+01:00,508.55
2021-01-02 02:00:00+01:00,595.88
2021-01-02 03:00:00+01:00,604.46
2021-01-02 04:00:00+01:00,485.7
2021-01-02 05:00:00+01:00,561.39
2021-01-02 06:00:00+01:00,501.18
2021-01-02 07:00:00+01:00,357.85
2021-01-02 08:00:00+01:00,12.56
2021-01-02 09:00:00+01:00,53.5
2021-01-02 10:00:00+01:00,17.14
2021-01-02 11:00:00+01:00,45.3
2021-01-02 12:00:00+01:00,38.64
2021-01-02 13:00:00+01:00,65.23
2021-01-02 14:00:00+01:00,44.86
2021-01-02 15:00:00+01:00,49.34
2021-01-02 16:00:00+01:00,0.0
2021-01-02 17:00:00+01:00,0.0
2021-01-02 18:00:00+01:00,0.0
2021-01-02 19:00:00+01:00,0.0
2021-01-02 20:00:00+01:00,56.66
2021-01-02 21:00:00+01:00,55.13
2021-01-02 22:00:00+01:00,122.84
2021-01-02 23:00:00+01:00,201.58
2021-01-03 00:00:00+01:00,77.11
2021-01-03 01:00:00+01:00,334.45
2021-01-03 02:00:00+01:00,434.57
2021-01-03 03:00:00+01:00,491.64
2021-01-03 04:00:00+01:00,529.6
2021-01-03 05:00:00+01:00,532.52
2021-01-03 06:00:00+01:00,694.45
2021-01-03 07:00:00+01:00,732.47
2021-01-03 08:00:00+01:00,732.45
2021-01-03 09:00:00+01:00,732.67
2021-01-03 10:00:00+01:00,732.78
2021-01-03 11:00:00+01:00,732.79
2021-01-03 12:00:00+01:00,732.8
2021-01-03 13:00:00+01:00,732.82
2021-01-03 14:00:00+01:00,732.84
2021-01-03 15:00:00+01:00,732.89
2021-01-03 16:00:00+01:00,732.86
2021-01-03 17:00:00+01:00,732.89
2021-01-03 18:00:00+01:00,733.02
2021-01-03 19:00:00+01:00,732.25
2021-01-03 20:00:00+01:00,633.51
2021-01-03 21:00:00+01:00,731.48
2021-01-03 22:00:00+01:00,723.65
2021-01-03 23:00:00+01:00,497.62
2021-01-04 00:00:00+01:00,246.41
2021-01-04 01:00:00+01:00,408.82
2021-01-04 02:00:00+01:00,407.27
2021-01-04 03:00:00+01:00,453.26
2021-01-04 04:00:00+01:00,375.97
2021-01-04 05:00:00+01:00,445.5
2021-01-04 06:00:00+01:00,718.63
2021-01-04 07:00:00+01:00,732.35
2021-01-04 08:00:00+01:00,688.92
2021-01-04 09:00:00+01:00,718.32
2021-01-04 10:00:00+01:00,493.55
2021-01-04 11:00:00+01:00,391.28
2021-01-04 12:00:00+01:00,412.49
2021-01-04 13:00:00+01:00,395.71
2021-01-04 14:00:00+01:00,417.83
2021-01-04 15:00:00+01:00,343.55
2021-01-04 16:00:00+01:00,303.38
2021-01-04 17:00:00+01:00,53.03
2021-01-04 18:00:00+01:00,90.48
2021-01-04 19:00:00+01:00,367.48
2021-01-04 20:00:00+01:00,471.06
2021-01-04 21:00:00+01:00,695.73
2021-01-04 22:00:00+01:00,643.72
2021-01-04 23:00:00+01:00,729.53
2021-01-05 00:00:00+01:00,585.52
2021-01-05 01:00:00+01:00,729.91
2021-01-05 02:00:00+01:00,732.82
2021-01-05 03:00:00+01:00,732.78
2021-01-05 04:00:00+01:00,731.89
2021-01-05 05:00:00+01:00,701.41
2021-01-05 06:00:00+01:00,725.49
2021-01-05 07:00:00+01:00,438.68
2021-01-05 08:00:00+01:00,366.93
2021-01-05 09:00:00+01:00,176.72
2021-01-05 10:00:00+01:00,0.0
2021-01-05 11:00:00+01:00,0.0
2021-01-05 12:00:00+01:00,38.8
2021-01-05 13:00:00+01:00,0.0
2021-01-05 14:00:00+01:00,0.0
2021-01-05 15:00:00+01:00,0.0
2021-01-05 16:00:00+01:00,0.0
2021-01-05 17:00:00+01:00,0.0
2021-01-05 18:00:00+01:00,0.0
2021-01-05 19:00:00+01:00,304.97
2021-01-05 20:00:00+01:00,373.6
2021-01-05 21:00:00+01:00,531.45
2021-01-05 22:00:00+01:00,423.12
2021-01-05 23:00:00+01:00,82.68
2021-01-06 00:00:00+01:00,159.68
2021-01-06 01:00:00+01:00,468.39
2021-01-06 02:00:00+01:00,466.44
2021-01-06 03:00:00+01:00,491.86
2021-01-06 04:00:00+01:00,426.78
2021-01-06 05:00:00+01:00,64.31
2021-01-06 06:00:00+01:00,378.83
2021-01-06 07:00:00+01:00,607.84
2021-01-06 08:00:00+01:00,726.99
2021-01-06 09:00:00+01:00,572.62
2021-01-06 10:00:00+01:00,490.6
