,Long,Short
2021-01-01 00:00:00+02:00,105.92,105.92
2021-01-01 01:00:00+02:00,104.92,104.92
2021-01-01 02:00:00+02:00,35.27,35.27
2021-01-01 03:00:00+02:00,34.9,34.9
2021-01-01 04:00:00+02:00,34.64,34.64
2021-01-01 05:00:00+02:00,85.92,85.92
2021-01-01 06:00:00+02:00,85.92,85.92
2021-01-01 07:00:00+02:00,105.92,105.92
2021-01-01 08:00:00+02:00,85.92,85.92
2021-01-01 09:00:00+02:00,105.92,105.92
2021-01-01 10:00:00+02:00,45.94,45.94
2021-01-01 11:00:00+02:00,105.92,105.92
2021-01-01 12:00:00+02:00,105.92,105.92
2021-01-01 13:00:00+02:00,105.92,105.92
2021-01-01 14:00:00+02:00,105.92,105.92
2021-01-01 15:00:00+02:00,105.92,105.92
2021-01-01 16:00:00+02:00,105.92,105.92
2021-01-01 17:00:00+02:00,103.92,103.92
2021-01-01 18:00:00+02:00,103.92,103.92
2021-01-01 19:00:00+02:00,78.52,78.52
2021-01-01 20:00:00+02:00,103.92,103.92
2021-01-01 21:00:00+02:00,88.52,88.52
2021-01-01 22:00:00+02:00,105.92,105.92
2021-01-01 23:00:00+02:00,105.92,105.92
2021-01-02 00:00:00+02:00,103.92,103.92
2021-01-02 01:00:00+02:00,-11.92,-11.92
2021-01-02 02:00:00+02:00,40.66,40.66
2021-01-02 03:00:00+02:00,35.66,35.66
2021-01-02 04:00:00+02:00,40.64,40.64
2021-01-02 05:00:00+02:00,78.42,78.42
2021-01-02 06:00:00+02:00,78.42,78.42
2021-01-02 07:00:00+02:00,103.92,103.92
2021-01-02 08:00:00+02:00,90.92,90.92
2021-01-02 09:00:00+02:00,78.42,78.42
2021-01-02 10:00:00+02:00,72.82,72.82
2021-01-02 11:00:00+02:00,134.92,134.92
2021-01-02 12:00:00+02:00,103.92,103.92
2021-01-02 13:00:00+02:00,135.92,135.92
2021-01-02 14:00:00+02:00,105.92,105.92
2021-01-02 15:00:00+02:00,85.92,85.92
2021-01-02 16:00:00+02:00,85.92,85.92
2021-01-02 17:00:00+02:00,81.62,81.62
2021-01-02 18:00:00+02:00,103.92,103.92
2021-01-02 19:00:00+02:00,98.92,98.92
2021-01-02 20:00:00+02:00,81.62,81.62
2021-01-02 21:00:00+02:00,103.92,103.92
2021-01-02 22:00:00+02:00,98.92,98.92
2021-01-02 23:00:00+02:00,58.05,58.05
2021-01-03 00:00:00+02:00,98.92,98.92
2021-01-03 01:00:00+02:00,103.92,103.92
2021-01-03 02:00:00+02:00,88.42,88.42
2021-01-03 03:00:00+02:00,68.42,68.42
2021-01-03 04:00:00+02:00,59.42,59.42
2021-01-03 05:00:00+02:00,34.41,34.41
2021-01-03 06:00:00+02:00,34.77,34.77
2021-01-03 07:00:00+02:00,68.42,68.42
2021-01-03 08:00:00+02:00,68.42,68.42
2021-01-03 09:00:00+02:00,14.05,14.05
2021-01-03 10:00:00+02:00,-8.74,-8.74
2021-01-03 11:00:00+02:00,68.42,68.42
2021-01-03 12:00:00+02:00,98.92,98.92
2021-01-03 13:00:00+02:00,90.92,90.92
2021-01-03 14:00:00+02:00,88.42,88.42
2021-01-03 15:00:00+02:00,79.92,79.92
2021-01-03 16:00:00+02:00,66.92,66.92
2021-01-03 17:00:00+02:00,66.92,66.92
2021-01-03 18:00:00+02:00,66.92,66.92
2021-01-03 19:00:00+02:00,79.92,79.92
2021-01-03 20:00:00+02:00,66.92,66.92
2021-01-03 21:00:00+02:00,38.48,38.48
2021-01-03 22:00:00+02:00,84.42,84.42
2021-01-03 23:00:00+02:00,71.42,71.42
2021-01-04 00:00:00+02:00,14.0,14.0
