,Imbalance Volume
2024-09-01 00:00:00+03:00,-32.95
2024-09-01 01:00:00+03:00,-11.21
2024-09-01 02:00:00+03:00,36.39
2024-09-01 03:00:00+03:00,40.91
2024-09-01 04:00:00+03:00,8.81
2024-09-01 05:00:00+03:00,-5.08
2024-09-01 06:00:00+03:00,-5.2
2024-09-01 07:00:00+03:00,32.0
2024-09-01 08:00:00+03:00,169.02
2024-09-01 09:00:00+03:00,249.01
2024-09-01 10:00:00+03:00,222.11
2024-09-01 11:00:00+03:00,143.01
2024-09-01 12:00:00+03:00,130.25
2024-09-01 13:00:00+03:00,25.78
2024-09-01 14:00:00+03:00,-3.33
2024-09-01 15:00:00+03:00,55.81
2024-09-01 16:00:00+03:00,132.1
2024-09-01 17:00:00+03:00,110.69
2024-09-01 18:00:00+03:00,70.11
2024-09-01 19:00:00+03:00,72.25
2024-09-01 20:00:00+03:00,39.57
2024-09-01 21:00:00+03:00,61.53
2024-09-01 22:00:00+03:00,104.52
2024-09-01 23:00:00+03:00,76.83
2024-09-02 00:00:00+03:00,115.86
2024-09-02 01:00:00+03:00,96.35
2024-09-02 02:00:00+03:00,69.93
2024-09-02 03:00:00+03:00,21.8
2024-09-02 04:00:00+03:00,16.31
2024-09-02 05:00:00+03:00,9.31
2024-09-02 06:00:00+03:00,13.69
2024-09-02 07:00:00+03:00,-27.64
2024-09-02 08:00:00+03:00,29.34
2024-09-02 09:00:00+03:00,138.74
2024-09-02 10:00:00+03:00,176.7
2024-09-02 11:00:00+03:00,96.62
2024-09-02 12:00:00+03:00,3.32
2024-09-02 13:00:00+03:00,-1.8
2024-09-02 14:00:00+03:00,71.22
2024-09-02 15:00:00+03:00,97.73
2024-09-02 16:00:00+03:00,79.75
2024-09-02 17:00:00+03:00,40.44
2024-09-02 18:00:00+03:00,34.86
2024-09-02 19:00:00+03:00,22.13
2024-09-02 20:00:00+03:00,-12.81
2024-09-02 21:00:00+03:00,64.32
2024-09-02 22:00:00+03:00,155.03
2024-09-02 23:00:00+03:00,153.53
2024-09-03 00:00:00+03:00,2.67
2024-09-03 01:00:00+03:00,-40.21
2024-09-03 02:00:00+03:00,13.58
2024-09-03 03:00:00+03:00,12.33
2024-09-03 04:00:00+03:00,22.8
2024-09-03 05:00:00+03:00,-11.35
2024-09-03 06:00:00+03:00,-94.68
2024-09-03 07:00:00+03:00,-45.02
2024-09-03 08:00:00+03:00,8.44
2024-09-03 09:00:00+03:00,92.47
2024-09-03 10:00:00+03:00,-3.27
2024-09-03 11:00:00+03:00,-12.56
2024-09-03 12:00:00+03:00,25.11
2024-09-03 13:00:00+03:00,21.47
2024-09-03 14:00:00+03:00,92.42
2024-09-03 15:00:00+03:00,114.51
2024-09-03 16:00:00+03:00,67.04
2024-09-03 17:00:00+03:00,40.32
2024-09-03 18:00:00+03:00,17.1
2024-09-03 19:00:00+03:00,-10.42
2024-09-03 20:00:00+03:00,-0.08
2024-09-03 21:00:00+03:00,121.71
2024-09-03 22:00:00+03:00,167.45
2024-09-03 23:00:00+03:00,107.66
2024-09-04 00:00:00+03:00,5.4
2024-09-04 01:00:00+03:00,-3.52
2024-09-04 02:00:00+03:00,24.44
2024-09-04 03:00:00+03:00,-26.13
2024-09-04 04:00:00+03:00,-102.29
2024-09-04 05:00:00+03:00,-80.66
2024-09-04 06:00:00+03:00,-23.49
2024-09-04 07:00:00+03:00,6.37
2024-09-04 08:00:00+03:00,60.11
2024-09-04 09:00:00+03:00,8.46
2024-09-04 10:00:00+03:00,-12.33
2024-09-04 11:00:00+03:00,-18.05
2024-09-04 12:00:00+03:00,-7.61
2024-09-04 13:00:00+03:00,86.96
2024-09-04 14:00:00+03:00,159.53
2024-09-04 15:00:00+03:00,206.53
2024-09-04 16:00:00+03:00,58.48
2024-09-04 17:00:00+03:00,3.39
2024-09-04 18:00:00+03:00,27.55
2024-09-04 19:00:00+03:00,107.38
2024-09-04 20:00:00+03:00,182.87
2024-09-04 21:00:00+03:00,261.46
